,incident_number,year,recovery_date,ucr_category,firearm_category,firearm_subcategory,firearm_manufacturer,firearm_model,firearm_caliber,address_geocode_type,block_address,street_address,city,state,zipcode,longitude,latitude,person_recovered_from_race,person_recovered_from_sex,person_recovered_from_age,confidence
5887,80-16-018551,2016,2016-03-04,Wpns_Law_Violation,Pistol,Semi-Automatic,"Fnh_Usa,_Llc",,57,,E Market St / S Preston St,,Louisville,KY,40202,,,White,M,32.0,
5888,80-16-018813,2016,2016-03-04,Wpns_Law_Violation,Pistol,Semi-Automatic,Jimenez_Arms,J_A_Nine,9MM,,S 11Th St / Cedar Ct,,Louisville,KY,40203,,,White,F,27.0,
5889,80-16-018528,2016,2016-03-04,Wpns_Law_Violation,,,,Tomcat-32,,,S 26Th St / W Broadway,,Louisville,KY,40211,,,Black,M,22.0,
5890,80-16-018537,2016,2016-03-04,Wpns_Law_Violation,Pistol,Semi-Automatic,Century_Arms_International,Canik_Tp9Sa,9MM,,S 5Th St / Central Ave,,Louisville,KY,40216,,,Hispanic,M,31.0,
5891,80-16-018202,2016,2016-03-03,Narcotics,Pistol,Revolver,Rohm,Rg38,38C,BLOCK,1000 Block S 29Th St,1000_S_29th_St,Louisville,KY,40211,-85.800134,38.25202,Black,M,31.0,0.528
5892,80-16-018392,2016,2016-03-03,Narcotics,Pistol,Semi-Automatic,Ruger,,9MM,BLOCK,4400 Block Heather Ln,4400_Heather_Ln,Louisville,KY,40216,-85.87576,38.193219,Black,M,22.0,0.897
5893,80-16-018427,2016,2016-03-03,Narcotics,Rifle,Semi-Automatic,"Glock,_Inc.",,380C,,Dixie Hwy / W Hill St,,Louisville,KY,40210,,,White,M,26.0,
5894,80-16-018295,2016,2016-03-03,Wpns_Law_Violation,Pistol,Revolver,Taurus_Internat,,44C,,W Broadway / Louis Coleman Jr Dr,,Louisville,KY,40211,,,White,M,19.0,
5895,80-16-018354,2016,2016-03-03,Wpns_Law_Violation,Pistol,Semi-Automatic,Taurus_Internat,Model_Pt92,9MM,,W Hill St / Olive St,,Louisville,KY,40210,,,,,,
5896,80-16-017929,2016,2016-03-02,Robbery,Pistol,Revolver,Smith_&_Wesson,Airweight,38C,BLOCK,1500 Block Frankfort Ave,1500_Frankfort_Ave,Louisville,KY,,-85.70275600000001,38.253079,Black,M,19.0,0.728
5897,80-16-017929,2016,2016-03-02,Robbery,Pistol,Revolver,Smith_&_Wesson,Airweight,38C,BLOCK,1500 Block Frankfort Ave,1900_Beech_St,Louisville,KY,,-85.80569200000001,38.222094,Black,M,19.0,0.528
