LOT #,MAKE,MODEL,CALIBER,SERIAL #,
274,DAVIS,P380,380,AP501427,
274,BRYCO ARMS,38,.380 ACP,1344436,
274,HI POINT,CF380,.380 ACP,P8005370,
274,JENNINGS,BRYCO38,0.38,596679,
274,HI POINT,CF380,.380 ACP,P765566,
274,HI POINT,CF380,.380 ACP,P8081873,
274,COBRA ENTERPRISES,UNKNOWN,0.38,K15178,
274,HI POINT,CF380,.380 ACP,841229W,
276,RUGER,P90DC,45,661-53636,
277,TAURUS,PT24/7 G2,45,SFU82323,
278,SMITH & WESSON,36-1,38SPL,J592477,
279,TAURUS,PT709,9MM,TFM25880,
280,GLOCK,23,.40 S&W,BAKF214,
281,CLERKE 1ST,32SW,32,925403,
281,ROHM,UNKNOWN,22,50220,
281,CLERKE 1ST,32SW,32,81072,
281,ROHM,RG10,22,1103047,
281,R G,RG10,22SHORT,1321644,
281,H & R,MOD 666,0.22,AU002717,
281,REXIO,UNK,0.22,88157,
281,ROHM,38,0.38,298609,
281,H & R,732,0.32,Z17040,
281,H & R,REVOLVER,0.32,369,
282,RUGER,LC9,9MM,322-33824,
283,RUGER,LCP,380,371021553,
284,RUGER,P94,40,340-61697,
285,TAURUS,PT145,45,NZH84343,
286,SMITH & WESSON,SW40VGE,40,PDD2254,
287,OPEAN AMERICAN ARM,EA/R,38/357,1059771,
288,RUGER,P89,9MM,305-26818,
289,RUGER,P89DC,9MM,314-19712,
290,"SIG SAUER, INC.",SP2022,9MM,24B120325,
291,SPRINGFIELD,XD40,40,US414521,
292,SMITH & WESSON,M&P9 SHIELD,9MM,HPT9834,
293,H & R,732,32,AP7532,
294,SMITH & WESSON,BG380,380,EAH4494,
295,"SIG SAUER, INC.",P238,.380 ACP,27A049468,
296,SMITH & WESSON,M&P9 SHIELD,9MM,HTP1693,
297,SMITH & WESSON,SW9VE,9MM,PBD0171,
298,WESTERN DERRINGER,DERRINGER,357,1375,
299,KAHR ARMS,CM9,9MM,IP9275,
300,ROCK ISLAND ARMORY,200,38SPL,PIA1897888,
301,COLT,M4 CARBINE,0.223,LE517452,
303,REMINGTON,WINGMASTER,12 G,S650447V,
304,SAVAGE,UNKNOWN,30-06,G603892,
306,ITHICA,37,12 G,371559821,
307,HAWK IND,982T,12 G,132920,
308,SPIKES TAC,ST15,MULTI,2127,
309,SPRINGFIELD ARMORY,M1,UNKNOWN,255365,
310,ROSSI,UNKNOWN,22,G206047,
311,WINCHESTER,290,22,B1035560,
312,SPORTER,UNKNOWN,7.62,15804,
313,K S I,MAK-90,7.62,6288,
314,WINCHESTER,22 LONG RIFLE,22,NONE,
315,RUGER,22 LR,22,832-15493,
316,UNKNOWN,1944,7.62,B2250,
317,NEW ENGLAND,PARDNER SB1,410,NL 207633,
318,ARCHANGLE,UNKNOWN,22,RCS2-06692,
320,REMINGTON,70 EXPRESS MAGNU,12 GA,A145928M,
321,MOSSBERG,500AT,12 GA,G291048,
322,REMINGTON,70 EXPRESS MAGNU,12 GA,B826287M,
323,STEVENS,620,12 GA,NONE,
324,STEVENS,22 RIFLE,0.22,B452,
325,SMITH & WESSON,M AND P 15,0.22,TE22490,
326,ARCHANGLE,UNKNOWN,7.62,M4047,
328,CENTURY ARMS,RAS47,7.62X39,RAS47043964,
329,SAVAGE,EDGE 270,270,H145537,
330,SAVAGE,111,270,H289337,
331,MOSSBERG,715T,22,ELJ3521042,
332,ROMARM/COGER,Oct-63,7.62X39,1966ST0534,
333,GSG,GSG-5,UNKNOWN,A315817,
334,SMITH & WESSON,MP15,0.223,37377,
335,S K S,UNKNOWN,7.62,1604844,
339,SEARS,HAWKEN MODEL 292,0.5,3430,
340,MAVERICK,UNK,12 GA,MV92200B,
341,ROSSI,UNK,0.22,6594,
342,RUGER,22-Oct,0.22,235-77972,
343,BILLERICA,UNKNOWN,12 GA,403541,
