incident_number,ucr_category,type_of_firearm,firearm_manufacturer,firearm_model,firearm_caliber,recovery_date,address_geocode_type,recovery_block_address,city,state,recovery_zipcode,person_recovered_from_race,person_recovered_from_sex,person_recovered_from_age,address_concat,x,y,longitude,latitude,confidence,source
80-17-003546,Wpns Law Violation,"Pistol, Revolver                                       ",Fie,,22C,2017-01-12 00:00:00+00,INTERSECTION,N 26th St / Bank St,Louisville,KY,40212,White,M,25,N 26th St / Bank St Louisville KY 40212,,,,,,
80-12-032819,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Raven Arms,Mp-25,25C,2012-04-27 00:00:00+00,INTERSECTION,N 26th St / Bank St,Louisville,KY,40212,White,M,23,N 26th St / Bank St Louisville KY 40212,,,,,,
80-10-005804,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Taurus Internat,Taurus Internat,45C,2010-01-24 00:00:00+00,INTERSECTION,N 26th St / Bank St,Louisville,KY,40212,White,M,19,N 26th St / Bank St Louisville KY 40212,,,,,,
80-15-090876,Wpns Law Violation,"Pistol, Single-shot                                    ",Taurus International,,25C,2015-11-08 00:00:00+00,INTERSECTION,N 26th St / Duncan St,Louisville,KY,40212,Black,M,50,N 26th St / Duncan St Louisville KY 40212,,,,,,
80-14-032674,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Smith & Wesson,,40C,2014-05-07 00:00:00+00,INTERSECTION,N 26th St / Portland Ave,Louisville,KY,40212,Black,M,22,N 26th St / Portland Ave Louisville KY 40212,,,,,,
80-11-042409,Wpns Law Violation,"Pistol, Revolver                                       ",Forehand Arms C,,32C,2011-06-03 00:00:00+00,INTERSECTION,N 26th St / St Xavier St,Louisville,KY,40212,Black,M,52,N 26th St / St Xavier St Louisville KY 40212,,,,,,
80-11-025143,Wpns Law Violation,"Pistol, Revolver                                       ",Ruger,Blackhawk,41C,2011-04-06 00:00:00+00,INTERSECTION,N 26th St / W Main St,Louisville,KY,40212,Black,M,36,N 26th St / W Main St Louisville KY 40212,,,,,,
80-15-088244,Aggravated Assault,"Pistol, Semi-automatic                                 ",Cobra Enterprises Inc,Fs380,380C,2015-10-31 00:00:00+00,INTERSECTION,N 27th St / Bank St,Louisville,KY,40212,White,M,56,N 27th St / Bank St Louisville KY 40212,,,,,,
80-10-004596,Wpns Law Violation,"Pistol, Revolver                                       ",Rg Industries,Rg (with Number,38C,2010-01-20 00:00:00+00,INTERSECTION,N 27th St / Northwestern Pky,Louisville,KY,40212,White,M,18,N 27th St / Northwestern Pky Louisville KY 40212,,,,,,
80-10-054241,Aggravated Assault,"Pistol, Semi-automatic                                 ",Hipoint,,40C,2010-07-16 00:00:00+00,INTERSECTION,N 27th St / Portland Ave,Louisville,KY,40212,White,M,24,N 27th St / Portland Ave Louisville KY 40212,,,,,,
80-15-039971,Wpns Law Violation,Null,Taurus International,Pt 24/7 Pro,,2015-05-26 00:00:00+00,INTERSECTION,N 27th St / Portland Ave,Louisville,KY,40212,Null,NULL,NULL,N 27th St / Portland Ave Louisville KY 40212,,,,,,
80-11-053061,Narcotics,"Pistol, Semi-automatic                                 ",Ruger,,22C,2011-07-07 00:00:00+00,INTERSECTION,N 28th St / Duncan St,Louisville,KY,40212,White,M,22,N 28th St / Duncan St Louisville KY 40212,,,,,,
80-11-099143,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Femaru,Model P9,9MM,2011-12-06 00:00:00+00,INTERSECTION,N 28th St / Gilligan St,Louisville,KY,40212,Black,M,26,N 28th St / Gilligan St Louisville KY 40212,,,,,,
80-11-029322,Aggravated Assault,"Rifle, Percussion                                      ","Traditions, Inc                                        ",,50C,2011-04-20 00:00:00+00,INTERSECTION,N 28th St / Rowan St,Louisville,KY,40212,White,M,51,N 28th St / Rowan St Louisville KY 40212,,,,,,
80-11-029322,Aggravated Assault,"Rifle, Percussion                                      ","Traditions, Inc                                        ",,50C,2011-04-20 00:00:00+00,INTERSECTION,N 28th St / Rowan St,Louisville,KY,40212,White,M,51,N 28th St / Rowan St Louisville KY 40212,,,,,,
80-11-091403,Wpns Law Violation,"Pistol, Revolver                                       ",,,44C,2011-11-11 00:00:00+00,INTERSECTION,N 28th St / W Main St,Louisville,KY,40212,Black,M,23,N 28th St / W Main St Louisville KY 40212,,,,,,
80-12-001746,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Davis Industrie,,25C,2012-01-07 00:00:00+00,INTERSECTION,N 29th St / Bank St,Louisville,KY,40212,White,M,35,N 29th St / Bank St Louisville KY 40212,,,,,,
80-12-001746,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Davis Industrie,,25C,2012-01-07 00:00:00+00,INTERSECTION,N 29th St / Bank St,Louisville,KY,40212,White,M,35,N 29th St / Bank St Louisville KY 40212,,,,,,
80-10-056223,Narcotics,"Pistol, Semi-automatic                                 ",Davis Industrie,,32C,2010-07-23 00:00:00+00,INTERSECTION,N 29th St / Garfield Ave,Louisville,KY,40212,White,M,23,N 29th St / Garfield Ave Louisville KY 40212,,,,,,
80-10-056223,Narcotics,"Pistol, Semi-automatic                                 ",Davis Industrie,,32C,2010-07-23 00:00:00+00,INTERSECTION,N 29th St / Garfield Ave,Louisville,KY,40212,White,M,23,N 29th St / Garfield Ave Louisville KY 40212,,,,,,
80-14-018623,Stolen Property,"Pistol, Semi-automatic                                 ",Taurus Internat,,380C,2014-03-17 00:00:00+00,INTERSECTION,N 29th St / Montgomery St,Louisville,KY,40212,Black,M,19,N 29th St / Montgomery St Louisville KY 40212,,,,,,
80-14-018623,Stolen Property,"Pistol, Semi-automatic                                 ",Taurus Internat,,380C,2014-03-17 00:00:00+00,INTERSECTION,N 29th St / Montgomery St,Louisville,KY,40212,Black,M,19,N 29th St / Montgomery St Louisville KY 40212,,,,,,
80-12-059103,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Glock, Inc.                                            ",Model 30 (45 Ac,45C,2012-07-26 00:00:00+00,INTERSECTION,N 29th St / Portland Ave,Louisville,KY,40212,White,M,21,N 29th St / Portland Ave Louisville KY 40212,,,,,,
80-15-014535,Narcotics,Null,"Glock, Inc.                                            ",Glock 23,,2015-02-27 00:00:00+00,INTERSECTION,N 29th St / Rowan St,Louisville,KY,40212,Null,NULL,NULL,N 29th St / Rowan St Louisville KY 40212,,,,,,
80-10-026084,Aggravated Assault,"Pistol, Semi-automatic                                 ",Bryco Arms,,380C,2010-04-12 00:00:00+00,INTERSECTION,N 29th St / Slevin St,Louisville,KY,40212,Black,M,NULL,N 29th St / Slevin St Louisville KY 40212,,,,,,
80-11-040687,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Hipoint,Js-9 Series,9MM,2011-05-28 00:00:00+00,INTERSECTION,N 2nd St / W Main St,Louisville,KY,40202,Black,M,32,N 2nd St / W Main St Louisville KY 40202,,,,,,
80-10-031699,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Para Ordnance,P Series,45C,2010-05-01 00:00:00+00,INTERSECTION,N 30th St / Bank St,Louisville,KY,40212,Black,M,43,N 30th St / Bank St Louisville KY 40212,,,,,,
80-10-031699,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Para Ordnance,P Series,45C,2010-05-01 00:00:00+00,INTERSECTION,N 30th St / Bank St,Louisville,KY,40212,Black,M,43,N 30th St / Bank St Louisville KY 40212,,,,,,
80-15-096231,Wpns Law Violation,Null,Hipoint,Hi-point,,2015-11-26 00:00:00+00,INTERSECTION,N 30th St / Duncan St,Louisville,KY,40212,Black,M,21,N 30th St / Duncan St Louisville KY 40212,,,,,,
80-15-022480,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Taurus International,Taurus Internat,380C,2015-03-29 00:00:00+00,INTERSECTION,N 31st St / Bank St,Louisville,KY,40212,White,M,25,N 31st St / Bank St Louisville KY 40212,,,,,,
80-10-097010,Aggravated Assault,"Pistol, Semi-automatic                                 ","Glock, Inc.                                            ",,40C,2010-12-09 00:00:00+00,INTERSECTION,N 31st St / Portland Ave,Louisville,KY,40212,Black,M,19,N 31st St / Portland Ave Louisville KY 40212,,,,,,
80-10-097010,Aggravated Assault,"Pistol, Semi-automatic                                 ","Glock, Inc.                                            ",,40C,2010-12-09 00:00:00+00,INTERSECTION,N 31st St / Portland Ave,Louisville,KY,40212,Black,M,19,N 31st St / Portland Ave Louisville KY 40212,,,,,,
80-16-044875,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Springfield Armory,geneseo,il                          ",Xd9,9MM,2016-05-27 00:00:00+00,INTERSECTION,N 32nd St / Northwestern Pky,Louisville,KY,40212,White,M,38,N 32nd St / Northwestern Pky Louisville KY 40212,,,,,,
80-12-023677,Stolen Property,"Pistol, Semi-automatic                                 ",Taurus International,Model Pt111,9MM,2012-03-26 00:00:00+00,INTERSECTION,N 33rd St / Rudd Ave,Louisville,KY,40212,White,M,30,N 33rd St / Rudd Ave Louisville KY 40212,,,,,,
80-12-023677,Stolen Property,"Pistol, Semi-automatic                                 ",Taurus International,Model Pt111,9MM,2012-03-26 00:00:00+00,INTERSECTION,N 33rd St / Rudd Ave,Louisville,KY,40212,White,M,30,N 33rd St / Rudd Ave Louisville KY 40212,,,,,,
80-15-067528,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Ruger,,45C,2015-08-26 00:00:00+00,INTERSECTION,N 34th St / Pflanz Ave,Louisville,KY,40212,Black,M,26,N 34th St / Pflanz Ave Louisville KY 40212,,,,,,
80-12-043770,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,,9MM,2012-06-02 00:00:00+00,INTERSECTION,N 34th St / Pflanz Ave,Louisville,KY,40212,White,M,17,N 34th St / Pflanz Ave Louisville KY 40212,,,,,,
80-16-056996,Wpns Law Violation,"Pistol, Revolver                                       ",Clerke/clerke Technicorp.,,32C,2016-07-06 00:00:00+00,INTERSECTION,N 34th St / W Main St,Louisville,KY,40212,Black,M,21,N 34th St / W Main St Louisville KY 40212,,,,,,
80-11-097303,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Sccy,Cpx-2,9MM,2011-11-30 00:00:00+00,INTERSECTION,N 35th St / Bank St,Louisville,KY,40212,White,M,21,N 35th St / Bank St Louisville KY 40212,,,,,,
80-12-099107,Aggravated Assault,"Pistol, Semi-automatic                                 ",Hipoint,C9,9MM,2012-12-14 00:00:00+00,INTERSECTION,N 35th St / Bank St,Louisville,KY,40212,White,M,29,N 35th St / Bank St Louisville KY 40212,,,,,,
80-15-099321,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Colt,,4570,2015-12-07 00:00:00+00,INTERSECTION,N 36th St / Duncan St,Louisville,KY,40212,Black,M,49,N 36th St / Duncan St Louisville KY 40212,,,,,,
80-15-099321,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Colt,,4570,2015-12-07 00:00:00+00,INTERSECTION,N 36th St / Duncan St,Louisville,KY,40212,Black,M,49,N 36th St / Duncan St Louisville KY 40212,,,,,,
80-16-051122,Stolen Property,"Pistol, Semi-automatic                                 ",,Cpx-2,9MM,2016-06-16 00:00:00+00,INTERSECTION,N 36th St / Duncan St,Louisville,KY,40212,Null,NULL,NULL,N 36th St / Duncan St Louisville KY 40212,,,,,,
80-16-006344,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Hipoint,,38C,2016-01-19 00:00:00+00,INTERSECTION,N 36th St / W Main St,Louisville,KY,40212,Black,M,24,N 36th St / W Main St Louisville KY 40212,,,,,,
80-11-037378,Narcotics,"Rifle, Semi-automatic                                  ",Marlin Firearms,336w,3006,2011-05-16 00:00:00+00,INTERSECTION,N 37th St / Bank St,Louisville,KY,40212,White,M,27,N 37th St / Bank St Louisville KY 40212,,,,,,
80-11-037378,Narcotics,"Rifle, Semi-automatic                                  ",Remington Arms,Handgun: Beals,3006,2011-05-16 00:00:00+00,INTERSECTION,N 37th St / Bank St,Louisville,KY,40212,White,M,27,N 37th St / Bank St Louisville KY 40212,,,,,,
80-11-037378,Narcotics,"Pistol, Semi-automatic                                 ",Lorcin,L25,25C,2011-05-16 00:00:00+00,INTERSECTION,N 37th St / Bank St,Louisville,KY,40212,White,M,27,N 37th St / Bank St Louisville KY 40212,,,,,,
80-11-037378,Narcotics,"Rifle, Semi-automatic                                  ",Manufacture D`a,P78,75MM,2011-05-16 00:00:00+00,INTERSECTION,N 37th St / Bank St,Louisville,KY,40212,White,M,27,N 37th St / Bank St Louisville KY 40212,,,,,,
80-12-039286,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Raven Arms,Mp-25,25C,2012-05-18 00:00:00+00,INTERSECTION,N 37th St / Jewell Ave,Louisville,KY,40212,Black,F,51,N 37th St / Jewell Ave Louisville KY 40212,,,,,,
80-15-098483,Narcotics,"Pistol, Semi-automatic                                 ",Taurus International,Model Pt-24/7,9MM,2015-12-04 00:00:00+00,INTERSECTION,N 37th St / Northwestern Pky,Louisville,KY,40212,White,F,35,N 37th St / Northwestern Pky Louisville KY 40212,,,,,,
80-15-098483,Narcotics,"Pistol, Semi-automatic                                 ",Taurus International,Model Pt-24/7,9MM,2015-12-04 00:00:00+00,INTERSECTION,N 37th St / Northwestern Pky,Louisville,KY,40212,White,F,35,N 37th St / Northwestern Pky Louisville KY 40212,,,,,,
80-12-060533,Aggravated Assault,"Pistol, Semi-automatic                                 ",Ruger,"Sturm, Ruger & ",9MM,2012-07-31 00:00:00+00,INTERSECTION,N 38th St / Parker Ave,Louisville,KY,40212,Null,NULL,NULL,N 38th St / Parker Ave Louisville KY 40212,,,,,,
80-12-060533,Aggravated Assault,"Pistol, Semi-automatic                                 ",Ruger,"Sturm, Ruger & ",9MM,2012-07-31 00:00:00+00,INTERSECTION,N 38th St / Parker Ave,Louisville,KY,40212,Null,NULL,NULL,N 38th St / Parker Ave Louisville KY 40212,,,,,,
80-16-043561,Aggravated Assault,"Pistol, Revolver                                       ",Smith & Wesson,96,22C,2016-05-23 00:00:00+00,INTERSECTION,N 40th St / W Main St,Louisville,KY,40212,Null,NULL,NULL,N 40th St / W Main St Louisville KY 40212,1191210.25,282081.8125,-85.81461136,38.26412926,,LOJIC
80-13-056033,Wpns Law Violation,"Pistol, Revolver                                       ",Smith & Wesson,,38C,2013-07-28 00:00:00+00,INTERSECTION,N 41st St / W Main St,Louisville,KY,40212,Black,M,18,N 41st St / W Main St Louisville KY 40212,1190844.374,282224.375,-85.81589393,38.2645036,,LOJIC
80-15-012447,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Colt,Defender,45C,2015-02-18 00:00:00+00,INTERSECTION,N 42nd St / Parker Ave,Louisville,KY,40212,Black,M,21,N 42nd St / Parker Ave Louisville KY 40212,1190894.375,283953.5,-85.81582218,38.26925343,,LOJIC
80-15-012447,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Colt,Defender,45C,2015-02-18 00:00:00+00,INTERSECTION,N 42nd St / Parker Ave,Louisville,KY,40212,Black,M,21,N 42nd St / Parker Ave Louisville KY 40212,1190894.375,283953.5,-85.81582218,38.26925343,,LOJIC
80-15-012447,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Keltec, Cnc Industries, Inc                            ",P-11,9MM,2015-02-18 00:00:00+00,INTERSECTION,N 42nd St / Parker Ave,Louisville,KY,40212,Black,M,21,N 42nd St / Parker Ave Louisville KY 40212,1190894.375,283953.5,-85.81582218,38.26925343,,LOJIC
80-15-012447,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Keltec, Cnc Industries, Inc                            ",P-11,9MM,2015-02-18 00:00:00+00,INTERSECTION,N 42nd St / Parker Ave,Louisville,KY,40212,Black,M,21,N 42nd St / Parker Ave Louisville KY 40212,1190894.375,283953.5,-85.81582218,38.26925343,,LOJIC
80-12-035748,Aggravated Assault,"Pistol, Semi-automatic                                 ",Hipoint,Jh-45,45C,2012-05-06 00:00:00+00,INTERSECTION,N 43rd St / W Main St,Louisville,KY,40212,Black,M,43,N 43rd St / W Main St Louisville KY 40212,1190038,282505.625,-85.81871873,38.26523813,,LOJIC
80-12-035748,Aggravated Assault,"Pistol, Semi-automatic                                 ",Hipoint,Jh-45,45C,2012-05-06 00:00:00+00,INTERSECTION,N 43rd St / W Main St,Louisville,KY,40212,Black,M,43,N 43rd St / W Main St Louisville KY 40212,1190038,282505.625,-85.81871873,38.26523813,,LOJIC
80-12-035748,Aggravated Assault,"Pistol, Semi-automatic                                 ",Hipoint,Jh-45,45C,2012-05-06 00:00:00+00,INTERSECTION,N 43rd St / W Main St,Louisville,KY,40212,Black,M,43,N 43rd St / W Main St Louisville KY 40212,1190038,282505.625,-85.81871873,38.26523813,,LOJIC
80-12-035748,Aggravated Assault,"Pistol, Semi-automatic                                 ",Hipoint,Jh-45,45C,2012-05-06 00:00:00+00,INTERSECTION,N 43rd St / W Main St,Louisville,KY,40212,Black,M,43,N 43rd St / W Main St Louisville KY 40212,1190038,282505.625,-85.81871873,38.26523813,,LOJIC
80-12-035748,Aggravated Assault,"Pistol, Semi-automatic                                 ",Hipoint,Jh-45,45C,2012-05-06 00:00:00+00,INTERSECTION,N 43rd St / W Main St,Louisville,KY,40212,Black,M,43,N 43rd St / W Main St Louisville KY 40212,1190038,282505.625,-85.81871873,38.26523813,,LOJIC
80-12-035748,Aggravated Assault,"Pistol, Semi-automatic                                 ",Hipoint,Jh-45,45C,2012-05-06 00:00:00+00,INTERSECTION,N 43rd St / W Main St,Louisville,KY,40212,Black,M,43,N 43rd St / W Main St Louisville KY 40212,1190038,282505.625,-85.81871873,38.26523813,,LOJIC
80-12-035748,Aggravated Assault,"Pistol, Semi-automatic                                 ",Hipoint,Jh-45,45C,2012-05-06 00:00:00+00,INTERSECTION,N 43rd St / W Main St,Louisville,KY,40212,Black,M,43,N 43rd St / W Main St Louisville KY 40212,1190038,282505.625,-85.81871873,38.26523813,,LOJIC
80-14-025562,Wpns Law Violation,"Pistol, Revolver                                       ",,,22C,2014-04-12 00:00:00+00,INTERSECTION,N 7th St / W River Rd,Louisville,KY,40202,Black,M,23,N 7th St / W River Rd Louisville KY 40202,,,,,,
80-15-030681,Narcotics,"Pistol, Semi-automatic                                 ",,,57,2015-04-26 00:00:00+00,INTERSECTION,N Beckley Station Rd / Shelbyville Rd,Louisville,KY,40245,White,M,34,N Beckley Station Rd / Shelbyville Rd Louisville KY 40245,,,,,,
80-15-030681,Narcotics,"Rifle, Bolt Action                                     ",Savage Arms Inc,,17C,2015-04-26 00:00:00+00,INTERSECTION,N Beckley Station Rd / Shelbyville Rd,Louisville,KY,40245,White,M,34,N Beckley Station Rd / Shelbyville Rd Louisville KY 40245,,,,,,
80-15-030681,Narcotics,"Rifle, Semi-automatic                                  ",Ruger,,22C,2015-04-26 00:00:00+00,INTERSECTION,N Beckley Station Rd / Shelbyville Rd,Louisville,KY,40245,White,M,34,N Beckley Station Rd / Shelbyville Rd Louisville KY 40245,,,,,,
80-11-005103,Narcotics,"Pistol, Semi-automatic                                 ",American Arms,,25C,2011-01-20 00:00:00+00,INTERSECTION,N Beckley Station Rd / Shelbyville Rd,Louisville,KY,40245,White,M,21,N Beckley Station Rd / Shelbyville Rd Louisville KY 40245,,,,,,
80-10-013576,Narcotics,"Pistol, Semi-automatic                                 ",Lorcin Engineer,L-380 .380 Acp,380C,2010-02-25 00:00:00+00,INTERSECTION,N Clifton Ave / Sycamore Ave,Louisville,KY,40206,Black,M,35,N Clifton Ave / Sycamore Ave Louisville KY 40206,1222614.125,278472.8125,-85.70505021,38.2556338,,LOJIC
80-13-063315,Narcotics,Null,"Glock, Inc.                                            ",23gen4,,2013-08-24 00:00:00+00,INTERSECTION,S 10th St / W Broadway,Louisville,KY,40203,Null,NULL,NULL,S 10th St / W Broadway Louisville KY 40203,,,,,,
80-10-013576,Narcotics,"Pistol, Semi-automatic                                 ",Lorcin Engineer,L-380 .380 Acp,380C,2010-02-25 00:00:00+00,INTERSECTION,N Clifton Ave / Sycamore Ave,Louisville,KY,40206,Black,M,35,N Clifton Ave / Sycamore Ave Louisville KY 40206,1222614.125,278472.8125,-85.70505021,38.2556338,,LOJIC
80-10-013576,Narcotics,"Pistol, Semi-automatic                                 ",Ruger,P97dc,45C,2010-02-25 00:00:00+00,INTERSECTION,N Clifton Ave / Sycamore Ave,Louisville,KY,40206,Black,M,35,N Clifton Ave / Sycamore Ave Louisville KY 40206,1222614.125,278472.8125,-85.70505021,38.2556338,,LOJIC
80-10-013576,Narcotics,"Pistol, Semi-automatic                                 ",Ruger,P97dc,45C,2010-02-25 00:00:00+00,INTERSECTION,N Clifton Ave / Sycamore Ave,Louisville,KY,40206,Black,M,35,N Clifton Ave / Sycamore Ave Louisville KY 40206,1222614.125,278472.8125,-85.70505021,38.2556338,,LOJIC
80-10-071267,Narcotics,"Pistol, Semi-automatic                                 ",Smith & Wesson,,9MM,2010-09-11 00:00:00+00,INTERSECTION,N Ewing Ave / Frankfort Ave,Louisville,KY,40206,White,M,40,N Ewing Ave / Frankfort Ave Louisville KY 40206,1224088.5,277762.5,-85.69987742,38.25374736,,LOJIC
80-10-077279,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,,40C,2010-10-01 00:00:00+00,INTERSECTION,N Hurstbourne Pky / Shelbyville Rd,Louisville,KY,40222,White,M,27,N Hurstbourne Pky / Shelbyville Rd Louisville KY 40222,,,,,,
80-12-055669,Narcotics,"Pistol, Revolver                                       ",Smith & Wesson,Rifle: M&p 15,223C,2012-07-13 00:00:00+00,INTERSECTION,N Preston St / E Washington St,Louisville,KY,40202,White,M,19,N Preston St / E Washington St Louisville KY 40202,1210940,278864.8125,-85.74572194,38.25619661,,LOJIC
80-12-055669,Narcotics,"Pistol, Semi-automatic                                 ","Springfield Armory,geneseo,il                          ",Pistol: Model 1,45C,2012-07-13 00:00:00+00,INTERSECTION,N Preston St / E Washington St,Louisville,KY,40202,White,M,19,N Preston St / E Washington St Louisville KY 40202,1210940,278864.8125,-85.74572194,38.25619661,,LOJIC
80-16-101711,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Taurus International,Model Pt938,380C,2016-11-29 00:00:00+00,INTERSECTION,N Shelby St / E Washington St,Louisville,KY,40202,White,M,29,N Shelby St / E Washington St Louisville KY 40202,1213251.625,278512.9375,-85.73765295,38.25533329,,LOJIC
80-16-101711,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Taurus International,Model Pt938,380C,2016-11-29 00:00:00+00,INTERSECTION,N Shelby St / E Washington St,Louisville,KY,40202,White,M,29,N Shelby St / E Washington St Louisville KY 40202,1213251.625,278512.9375,-85.73765295,38.25533329,,LOJIC
80-10-029394,All Other Offenses,"Pistol, Revolver                                       ",Taurus Internat,Taurus Internat,357C,2010-04-23 00:00:00+00,INTERSECTION,N. 26th St / Northwestern Pky,Louisville,KY,,Unknown,U,NULL,N. 26th St / Northwestern Pky Louisville KY ,,,,,,
80-13-045932,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Glock Gmbh,Model 27 (40 Sw,40C,2013-06-21 00:00:00+00,INTERSECTION,Nachand Ln / Watterson Trl,Louisville,KY,40291,White,M,32,Nachand Ln / Watterson Trl Louisville KY 40291,1247743,251024.0625,-85.61613121,38.18132472,,LOJIC
80-10-053440,Robbery,"Pistol, Semi-automatic                                 ",Jimenez Arms,,9MM,2010-07-13 00:00:00+00,INTERSECTION,Naomi Dr / Poplar Level Rd,Louisville,KY,40219,Hispanic,M,22,Naomi Dr / Poplar Level Rd Louisville KY 40219,1229207.5,245478.5938,-85.68030743,38.16532583,,LOJIC
80-10-053440,Robbery,"Pistol, Semi-automatic                                 ",Jimenez Arms,,9MM,2010-07-13 00:00:00+00,INTERSECTION,Naomi Dr / Poplar Level Rd,Louisville,KY,40219,Hispanic,M,22,Naomi Dr / Poplar Level Rd Louisville KY 40219,1229207.5,245478.5938,-85.68030743,38.16532583,,LOJIC
80-13-057189,Narcotics,"Pistol, Semi-automatic                                 ",Bryco Arms,M-38,380C,2013-08-01 00:00:00+00,INTERSECTION,National Tpke / Outer Loop,Louisville,KY,40214,White,M,32,National Tpke / Outer Loop Louisville KY 40214,1209243.875,231820.735,-85.74896179,38.12695395,,LOJIC
80-13-057189,Narcotics,"Pistol, Semi-automatic                                 ",Bryco Arms,M-38,380C,2013-08-01 00:00:00+00,INTERSECTION,National Tpke / Outer Loop,Louisville,KY,40214,White,M,32,National Tpke / Outer Loop Louisville KY 40214,1209243.875,231820.735,-85.74896179,38.12695395,,LOJIC
80-14-030180,Narcotics,"Pistol, Semi-automatic                                 ",Beretta (industria S.A.),,9MM,2014-04-29 00:00:00+00,INTERSECTION,National Tpke / Outer Loop,Louisville,KY,40214,Hispanic,M,21,National Tpke / Outer Loop Louisville KY 40214,1209243.875,231820.735,-85.74896179,38.12695395,,LOJIC
80-10-097597,Aggravated Assault,"Rifle, Bolt Action                                     ",Savage Arms Inc,Rifle: Mark Ser,22C,2010-12-10 00:00:00+00,INTERSECTION,National Tpke / Southside Dr,Louisville,KY,40214,White,M,51,National Tpke / Southside Dr Louisville KY 40214,1204614,241230.9375,-85.76559281,38.15258317,,LOJIC
80-16-007788,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Phoenix Arms Co.,Hp25a,25C,2016-01-26 00:00:00+00,INTERSECTION,New Cut Rd / Outer Loop,Louisville,KY,40214,White,M,29,New Cut Rd / Outer Loop Louisville KY 40214,1201428.89,231742.4725,-85.77612096,38.12638667,,LOJIC
80-16-007788,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Phoenix Arms Co.,Hp25a,25C,2016-01-26 00:00:00+00,INTERSECTION,New Cut Rd / Outer Loop,Louisville,KY,40214,White,M,29,New Cut Rd / Outer Loop Louisville KY 40214,1201428.89,231742.4725,-85.77612096,38.12638667,,LOJIC
80-16-071982,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Jimenez Arms,,380C,2016-08-23 00:00:00+00,INTERSECTION,New Cut Rd / Outer Loop,Louisville,KY,40214,Black,M,19,New Cut Rd / Outer Loop Louisville KY 40214,1201428.89,231742.4725,-85.77612096,38.12638667,,LOJIC
80-16-079754,Wpns Law Violation,"Pistol, Revolver                                       ",Rg Industries,Rg31,38C,2016-09-17 00:00:00+00,INTERSECTION,New Cut Rd / Outer Loop,Louisville,KY,40214,Black,M,24,New Cut Rd / Outer Loop Louisville KY 40214,1201428.89,231742.4725,-85.77612096,38.12638667,,LOJIC
80-16-071982,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Kimber,Carry Series,45C,2016-08-23 00:00:00+00,INTERSECTION,New Cut Rd / Outer Loop,Louisville,KY,40214,Null,,NULL,New Cut Rd / Outer Loop Louisville KY 40214,1201428.89,231742.4725,-85.77612096,38.12638667,,LOJIC
80-16-007788,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Springfield Armory,geneseo,il                          ",Pistol: Model X,9MM,2016-01-26 00:00:00+00,INTERSECTION,New Cut Rd / Outer Loop,Louisville,KY,40214,White,M,34,New Cut Rd / Outer Loop Louisville KY 40214,1201428.89,231742.4725,-85.77612096,38.12638667,,LOJIC
80-16-007788,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Springfield Armory,geneseo,il                          ",Pistol: Model X,9MM,2016-01-26 00:00:00+00,INTERSECTION,New Cut Rd / Outer Loop,Louisville,KY,40214,White,M,34,New Cut Rd / Outer Loop Louisville KY 40214,1201428.89,231742.4725,-85.77612096,38.12638667,,LOJIC
80-15-102843,Family Offenses,"Rifle, Semi-automatic                                  ",Ruger,,22C,2015-12-18 00:00:00+00,INTERSECTION,New Cut Rd / Palatka Rd,Louisville,KY,40214,Black,M,24,New Cut Rd / Palatka Rd Louisville KY 40214,1201509.75,240629.7188,-85.77635186,38.15079167,,LOJIC
