incident_number,ucr_category,type_of_firearm,firearm_manufacturer,firearm_model,firearm_caliber,recovery_date,address_geocode_type,recovery_block_address,city,state,recovery_zipcode,person_recovered_from_race,person_recovered_from_sex,person_recovered_from_age,address_concat,x,y,longitude,latitude,confidence,source
80-14-045732,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Hipoint,,45C,2014-06-22 00:00:00+00,INTERSECTION,Breckenridge Ln / Six Mile Ln,Louisville,KY,40220,Black,M,16,Breckenridge Ln / Six Mile Ln Louisville KY 40220,1245253.75,256989.5,-85.62509998,38.19760242,,LOJIC
80-14-045732,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Hipoint,,45C,2014-06-22 00:00:00+00,INTERSECTION,Breckenridge Ln / Six Mile Ln,Louisville,KY,40220,Black,M,16,Breckenridge Ln / Six Mile Ln Louisville KY 40220,1245253.75,256989.5,-85.62509998,38.19760242,,LOJIC
80-10-016017,Wpns Law Violation,"Pistol, Revolver                                       ",Omega Defensive,Mod 100,22C,2010-03-06 00:00:00+00,INTERSECTION,Breckenridge Ln / Taylorsville Rd,Mede,KY,40220,Black,M,19,Breckenridge Ln / Taylorsville Rd Mede KY 40220,1243824.375,265222.9375,-85.63050262,38.22015033,,LOJIC
80-13-069168,Simple Assault,"Pistol, Semi-automatic                                 ",,,9MM,2013-09-11 00:00:00+00,INTERSECTION,Breckenridge Ln / Taylorsville Rd,Louisville,KY,40228,Black,M,33,Breckenridge Ln / Taylorsville Rd Louisville KY 40228,1243824.375,265222.9375,-85.63050262,38.22015033,,LOJIC
80-14-043632,Robbery,"Pistol, Revolver                                       ",Taurus International,38spl,38C,2014-06-15 00:00:00+00,INTERSECTION,Brenda Dr / Red Oak Ln,Louisville,KY,40219,Black,M,21,Brenda Dr / Red Oak Ln Louisville KY 40219,1231491.374,248143.625,-85.67250786,38.17274032,,LOJIC
80-13-039476,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Lorcin Engineer,L-380 .380 Acp,380C,2013-05-31 00:00:00+00,INTERSECTION,Briarcliff Rd / Outer Loop,Louisville,KY,40219,White,M,20,Briarcliff Rd / Outer Loop Louisville KY 40219,1224213.25,234944.22,-85.69710043,38.13618743,,LOJIC
80-13-039476,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Jimenez Arms,380,380C,2013-05-31 00:00:00+00,INTERSECTION,Briarcliff Rd / Outer Loop,Louisville,KY,40219,White,M,20,Briarcliff Rd / Outer Loop Louisville KY 40219,1224213.25,234944.22,-85.69710043,38.13618743,,LOJIC
80-13-039476,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Ruger,Handguns: P Ser,9MM,2013-05-31 00:00:00+00,INTERSECTION,Briarcliff Rd / Outer Loop,Louisville,KY,40219,White,M,20,Briarcliff Rd / Outer Loop Louisville KY 40219,1224213.25,234944.22,-85.69710043,38.13618743,,LOJIC
80-13-058049,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,,380C,2013-08-04 00:00:00+00,INTERSECTION,Brookley Dr / Mud Ln,Louisville,KY,40229,White,M,25,Brookley Dr / Mud Ln Louisville KY 40229,1230207.75,217292.125,-85.67531178,38.08797668,,LOJIC
80-13-058049,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,,380C,2013-08-04 00:00:00+00,INTERSECTION,Brookley Dr / Mud Ln,Louisville,KY,40229,White,M,25,Brookley Dr / Mud Ln Louisville KY 40229,1230207.75,217292.125,-85.67531178,38.08797668,,LOJIC
80-11-051513,Wpns Law Violation,"Pistol, Revolver                                       ",Smith & Wesson,Magnum,357C,2011-07-02 00:00:00+00,INTERSECTION,Brothers Ave / Juneau Dr,Mtwn,KY,40243,Black,M,30,Brothers Ave / Juneau Dr Mtwn KY 40243,,,,,,
